ID,experimental_replicate,concentration,growth
25,1,0.01,69.63
26,1,0.01,71.53
26,1,0.01,71.15
26,1,0.01,71.23
27,1,0.01,84.00
27,1,0.01,84.00
27,1,0.01,84.00
28,1,0.01,84.00
28,1,0.01,84.00
28,1,0.01,84.00
29,1,0.01,64.37
29,1,0.01,64.87
29,1,0.01,64.62
30,1,0.01,84.00
30,1,0.01,84.00
30,1,0.01,84.00
31,1,0.01,84.00
31,1,0.01,84.00
31,1,0.01,84.00
32,1,0.01,84
32,1,0.01,84
32,1,0.01,84
33,1,0.01,57.81
33,1,0.01,57.46
33,1,0.01,57.26
34,1,0.01,57.47
34,1,0.01,2967.91
34,1,0.01,52.57
35,1,0.01,84.00
35,1,0.01,84.00
35,1,0.01,84.00
1,1,0.05,74.14
1,1,0.05,74.06
1,1,0.05,73.99
2,1,0.05,63.72
2,1,0.05,63.22
2,1,0.05,65.11
3,1,0.05,32.47
3,1,0.05,34.48
3,1,0.05,32.65
4,1,0.05,66.33
4,1,0.05,64.57
4,1,0.05,64.20
5,1,0.05,44.675
5,1,0.05,45.72
5,1,0.05,46.015
6,1,0.05,53.34
6,1,0.05,54.63
6,1,0.05,54.59
7,1,0.05,84.00
7,1,0.05,84.00
7,1,0.05,84.00
8,1,0.05,68.40
8,1,0.05,65.37
8,1,0.05,67.78
9,1,0.05,45.84
9,1,0.05,45.64
9,1,0.05,47.63
10,1,0.05,47.21
10,1,0.05,47.73
10,1,0.05,51.52
11,1,0.05,61.60
11,1,0.05,60.77
11,1,0.05,61.08
12,1,0.05,36.38
12,1,0.05,36.70
12,1,0.05,38.12
13,1,0.05,45.03
13,1,0.05,43.75
13,1,0.05,44.11
14,1,0.05,84.00
14,1,0.05,84.00
14,1,0.05,84.00
15,1,0.05,31.45
15,1,0.05,31.12
15,1,0.05,30.67
16,1,0.05,28.67
16,1,0.05,31.80
16,1,0.05,28.99
17,1,0.05,26.35
17,1,0.05,25.44
17,1,0.05,25.94
18,1,0.05,38.05
18,1,0.05,39.00
18,1,0.05,37.80
19,1,0.05,51.38
19,1,0.05,50.45
19,1,0.05,50.05
20,1,0.05,34.98
20,1,0.05,36.89
20,1,0.05,37.84
21,1,0.05,30.33
21,1,0.05,26.76
21,1,0.05,32.28
22,1,0.05,21.23
22,1,0.05,22.98
22,1,0.05,24.40
23,1,0.05,26.86
23,1,0.05,27.49
23,1,0.05,26.84
24,1,0.05,27.43
24,1,0.05,26.15
24,1,0.05,26.06
25,1,0.05,35.37
25,1,0.05,34.83
25,1,0.05,35.55
26,1,0.05,48.94
26,1,0.05,50.00
26,1,0.05,48.05
27,1,0.05,43.78
27,1,0.05,43.84
27,1,0.05,43.43
28,1,0.05,72.04
28,1,0.05,70.95
28,1,0.05,71.13
29,1,0.05,64.36
29,1,0.05,62.77
29,1,0.05,63.57
30,1,0.05,75.94
30,1,0.05,75.69
30,1,0.05,75.18
31,1,0.05,68.85
31,1,0.05,70.61
31,1,0.05,69.74
32,1,0.05,59.91
32,1,0.05,58.93
32,1,0.05,59.42
33,1,0.05,50.54
33,1,0.05,46.48
33,1,0.05,49.09
34,1,0.05,52.57
34,1,0.05,52.49
34,1,0.05,52.60
35,1,0.05,65.44
35,1,0.05,66.60
35,1,0.05,65.43
1,1,0.1,37.62
1,1,0.1,37.31
1,1,0.1,36.72
2,1,0.1,32.49
2,1,0.1,33.60
2,1,0.1,34.19
3,1,0.1,11.93
3,1,0.1,12.20
3,1,0.1,11.50
4,1,0.1,33.98
4,1,0.1,34.70
4,1,0.1,34.63
5,1,0.1,10.88
5,1,0.1,11.20
5,1,0.1,11.67
6,1,0.1,25.72
6,1,0.1,26.21
6,1,0.1,26.05
7,1,0.1,40.08
7,1,0.1,29.02
7,1,0.1,31.87
8,1,0.1,25.06
8,1,0.1,23.82
8,1,0.1,23.50
9,1,0.1,18.50
9,1,0.1,19.41
9,1,0.1,19.39
10,1,0.1,22.14
10,1,0.1,22.27
10,1,0.1,24.05
11,1,0.1,40.89
11,1,0.1,41.06
11,1,0.1,41.61
12,1,0.1,15.65
12,1,0.1,15.83
12,1,0.1,15.58
13,1,0.1,15.88
13,1,0.1,16.06
13,1,0.1,15.61
14,1,0.1,84.00
14,1,0.1,84.00
14,1,0.1,84.00
15,1,0.1,13.26
15,1,0.1,12.28
15,1,0.1,12.47
16,1,0.1,11.49
16,1,0.1,11.72
16,1,0.1,11.54
17,1,0.1,9.22
17,1,0.1,10.97
17,1,0.1,10.47
18,1,0.1,13.32
18,1,0.1,12.05
18,1,0.1,9.54
19,1,0.1,11.39
19,1,0.1,11.32
19,1,0.1,10.95
20,1,0.1,13.45
20,1,0.1,14.19
20,1,0.1,14.95
21,1,0.1,8.78
21,1,0.1,10.13
21,1,0.1,9.77
22,1,0.1,12.07
22,1,0.1,12.44
22,1,0.1,12.27
23,1,0.1,10.92
23,1,0.1,11.75
23,1,0.1,9.15
24,1,0.1,10.81
24,1,0.1,10.38
24,1,0.1,10.41
25,1,0.1,10.86
25,1,0.1,10.95
25,1,0.1,9.90
26,1,0.1,15.09
26,1,0.1,14.42
26,1,0.1,14.58
27,1,0.1,15.11
27,1,0.1,14.74
27,1,0.1,14.39
28,1,0.1,19.18
28,1,0.1,19.49
28,1,0.1,19.69
29,1,0.1,10.24
29,1,0.1,10.55
29,1,0.1,10.43
30,1,0.1,34.71
30,1,0.1,34.71
30,1,0.1,32.58
31,1,0.1,41.59
31,1,0.1,41.67
31,1,0.1,40.27
32,1,0.1,32.33
32,1,0.1,31.78
32,1,0.1,30.59
33,1,0.1,24.15
33,1,0.1,24.74
33,1,0.1,23.78
34,1,0.1,9.98
34,1,0.1,10.61
34,1,0.1,10.04
35,1,0.1,32.38
35,1,0.1,32.70
35,1,0.1,32.95
1,1,0.5,21.92
1,1,0.5,20.32
1,1,0.5,22.00
2,1,0.5,19.58
2,1,0.5,19.29
2,1,0.5,19.03
3,1,0.5,5.00
3,1,0.5,5.00
3,1,0.5,5.00
4,1,0.5,12.09
4,1,0.5,12.06
4,1,0.5,12.00
5,1,0.5,5.00
5,1,0.5,5.00
5,1,0.5,5.00
6,1,0.5,10.93
6,1,0.5,10.14
6,1,0.5,10.62
7,1,0.5,9.89
7,1,0.5,10.42
7,1,0.5,10.38
8,1,0.5,11.71
8,1,0.5,12.08
8,1,0.5,12.39
9,1,0.5,12.14
9,1,0.5,10.02
9,1,0.5,12.02
10,1,0.5,11.00
10,1,0.5,10.07
10,1,0.5,10.69
11,1,0.5,11.56
11,1,0.5,13.51
11,1,0.5,13.04
12,1,0.5,9.51
12,1,0.5,9.42
12,1,0.5,8.64
13,1,0.5,6.82
13,1,0.5,7.70
13,1,0.5,8.24
14,1,0.5,74.84
14,1,0.5,73.18
14,1,0.5,73.08
15,1,0.5,5.00
15,1,0.5,5.00
15,1,0.5,5.00
16,1,0.5,5.00
16,1,0.5,5.00
16,1,0.5,5.00
17,1,0.5,5.00
17,1,0.5,5.00
17,1,0.5,5.00
18,1,0.5,5.00
18,1,0.5,5.00
18,1,0.5,5.00
19,1,0.5,5.00
19,1,0.5,5.00
19,1,0.5,5.00
20,1,0.5,5.00
20,1,0.5,5.00
20,1,0.5,5.00
21,1,0.5,5.00
21,1,0.5,5.00
21,1,0.5,5.00
22,1,0.5,5.00
22,1,0.5,5.00
22,1,0.5,5.00
23,1,0.5,5.00
23,1,0.5,5.00
23,1,0.5,5.00
24,1,0.5,5.00
24,1,0.5,5.00
24,1,0.5,5.00
25,1,0.5,5.00
25,1,0.5,5.00
25,1,0.5,5.00
26,1,0.5,5.00
26,1,0.5,5.00
26,1,0.5,5.00
27,1,0.5,5.00
27,1,0.5,5.00
27,1,0.5,5.00
28,1,0.5,5.00
28,1,0.5,5.00
28,1,0.5,5.00
29,1,0.5,5.00
29,1,0.5,5.00
29,1,0.5,5.00
30,1,0.5,16.87
30,1,0.5,16.65
30,1,0.5,17.95
31,1,0.5,19.19
31,1,0.5,18.89
31,1,0.5,19.11
32,1,0.5,16.06
32,1,0.5,20.77
32,1,0.5,15.71
33,1,0.5,11.30
33,1,0.5,11.28
33,1,0.5,10.69
34,1,0.5,5.00
34,1,0.5,5.00
34,1,0.5,5.00
35,1,0.5,20.25
35,1,0.5,21.21
35,1,0.5,20.77
1,1,1,11.49
1,1,1,10.83
1,1,1,10.97
2,1,1,16.32
