ID,experimental_replicate,concentration,growth,,
7,2,1,0.00,,
7,2,1,0.00,,
7,2,1,0.00,,
27,2,1,15.59,,
27,2,1,15.33,,
27,2,1,15.99,,
42,2,1,6.94,,
42,2,1,7.95,,
42,2,1,7.45,,
43,2,1,8.53,,
43,2,1,8.29,,
43,2,1,8.51,,
44,2,1,0.00,,
44,2,1,0.00,,
44,2,1,0.00,,
40,2,5,0.00,,
40,2,5,0.00,,
40,2,5,0.00,,
20,2,5,0.00,,
20,2,5,0.00,,
20,2,5,0.00,,
26,2,5,0.00,,
26,2,5,0.00,,
26,2,5,0.00,,
7,2,5,0.00,,
7,2,5,0.00,,
7,2,5,0.00,,
27,2,5,0.00,,
27,2,5,0.00,,
27,2,5,0.00,,
42,2,5,0.00,,
42,2,5,0.00,,
42,2,5,0.00,,
43,2,5,0.00,,
43,2,5,0.00,,
43,2,5,0.00,,
44,2,5,0.00,,
44,2,5,0.00,,
44,2,5,0.00,,
40,2,10,0.00,,
40,2,10,0.00,,
40,2,10,0.00,,
20,2,10,0.00,,
20,2,10,0.00,,
20,2,10,0.00,,
26,2,10,0.00,,
26,2,10,0.00,,
26,2,10,0.00,,
7,2,10,0.00,,
7,2,10,0.00,,
7,2,10,0.00,,
27,2,10,0.00,,
27,2,10,0.00,,
27,2,10,0.00,,
42,2,10,0.00,,
42,2,10,0.00,,
42,2,10,0.00,,
43,2,10,0.00,,
43,2,10,0.00,,
43,2,10,0.00,,
44,2,10,0.00,,
44,2,10,0.00,,
44,2,10,0.00,,
40,2,50,0.00,,
40,2,50,0.00,,
40,2,50,0.00,,
20,2,50,0.00,,
20,2,50,0.00,,
20,2,50,0.00,,
26,2,50,0.00,,
26,2,50,0.00,,
26,2,50,0.00,,
7,2,50,0.00,,
7,2,50,0.00,,
7,2,50,0.00,,
27,2,50,0.00,,
27,2,50,0.00,,
27,2,50,0.00,,
42,2,50,0.00,,
42,2,50,0.00,,
42,2,50,0.00,,
43,2,50,0.00,,
43,2,50,0.00,,
43,2,50,0.00,,
44,2,50,0.00,,
44,2,50,0.00,,
44,2,50,0.00,,
