"","ID","Estimate.10","SE.10","EC50","SE.50","Estimate.90","SE.90"
"1","2",1637.9745581083,25.0661872586893,3490.97357099507,110.399871734902,7440.22330081897,534.394856667766
"2","6",2371.01845251292,326.777025689155,27931.0882728735,10695.8015273209,329034.002784843,231753.090581596
"3","16",1302.54899664564,51.897491974328,3998.76381748094,273.559857534401,12276.0158037609,1887.38145560083
"4","17",1307.39979880181,34.1637399773108,2932.35468307563,71.0733308638951,6576.95067357057,415.35020035898
"5","19",1355.43938183997,38.1402968356779,3506.61395269318,100.244836875094,9071.84900923461,616.972812859676
"6","21",1548.18703496732,34.6260833582714,3096.84938539833,104.073113326877,6194.64954765267,509.417225480504
"7","22",1411.71598838885,78.9441869636529,4772.02012174919,224.32473959809,16130.8480102774,1829.98595401118
"8","23",1796.26948384734,68.3852579911218,6531.65481804424,519.367465804269,23750.6204084166,3785.26646622758
"9","26",1630.83294024163,85.646894243489,5908.22042920305,649.859351310988,21404.441729562,4883.12054454896
"10","27",670.207365266738,27.0710958952409,1907.0698324238,37.4074531926895,5426.55233920548,293.923084876052
"11","29",1453.30786368421,68.9141211524303,2336.38355657241,57.6509269383917,3756.04389119859,345.124942980629
"12","30",1335.48090986092,25.1507195141846,2219.01737583378,14.0326626265541,3687.08985496847,105.556881894451
"13","32",1143.74381796609,28.8113545514414,2592.33122184057,44.0768285400429,5875.59998853578,303.080387052064
"14","36",1524.37013301282,79.6109786543347,5933.07825488376,513.591412608723,23092.4345841133,4269.68452929169
"15","37",1337.07472418404,67.035101607053,4890.3391474757,433.346613742704,17886.3727993422,3457.29319484377
"16","39",1512.05456767935,63.1326126214951,4982.24065775648,363.179446473015,16416.551692244,2601.26841250895
"17","40",1597.84362912728,47.5927542415403,3415.47977714046,185.029633117838,7300.77830859268,910.61255921237
"18","45",1338.45007045116,43.3603155360049,2572.22070223111,60.8775208258408,4943.26944803857,343.745749803855
"19","46",1408.55979391175,34.8122454400855,2935.50993308983,77.680923870768,6117.75134042266,421.053028135345
"20","47",1369.93363732639,118.133713008967,8835.55570685155,1495.0044541444,56986.0046660619,19680.2713633267
"21","49",1360.88628893867,32.7793276894312,3047.61072429984,77.0490426725364,6824.91344233531,438.719295022061
