"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","1      : 1  ","Min.   :0.001192  ","Min.   :0.0009376  ","Min.   :0.02993  ","Min.   :0.007985  ","Min.   :0.4905  ","Min.   :0.07577  "
"","2      : 1  ","1st Qu.:0.020162  ","1st Qu.:0.0044631  ","1st Qu.:0.13388  ","1st Qu.:0.014953  ","1st Qu.:0.8651  ","1st Qu.:0.17633  "
"","3      : 1  ","Median :0.027501  ","Median :0.0070480  ","Median :0.17454  ","Median :0.020112  ","Median :1.1735  ","Median :0.23904  "
"","4      : 1  ","Mean   :0.033682  ","Mean   :0.0075144  ","Mean   :0.19325  ","Mean   :0.021476  ","Mean   :1.4618  ","Mean   :0.39703  "
"","5      : 1  ","3rd Qu.:0.043656  ","3rd Qu.:0.0091939  ","3rd Qu.:0.23817  ","3rd Qu.:0.027113  ","3rd Qu.:1.6073  ","3rd Qu.:0.41344  "
"","6      : 1  ","Max.   :0.160344  ","Max.   :0.0283839  ","Max.   :0.51650  ","Max.   :0.047593  ","Max.   :7.7229  ","Max.   :3.39499  "
"","(Other):44  ",NA,NA,NA,NA,NA,NA
