"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","7      :1  ","Min.   :1.732e-05  ","Min.   :0.0000221  ","Min.   : 0.6682  ","Min.   : 0.1226  ","Min.   :   844.7  ","Min.   :   185.0  "
"","20     :1  ","1st Qu.:7.282e-04  ","1st Qu.:0.0004223  ","1st Qu.: 1.1121  ","1st Qu.: 0.2231  ","1st Qu.:  1082.1  ","1st Qu.:   619.6  "
"","26     :1  ","Median :1.435e-03  ","Median :0.0005762  ","Median : 1.4242  ","Median : 0.3789  ","Median :  5902.2  ","Median :  4088.5  "
"","27     :1  ","Mean   :5.076e-03  ","Mean   :0.0037343  ","Mean   :11.1372  ","Mean   : 3.4342  ","Mean   : 33388.7  ","Mean   : 37766.9  "
"","40     :1  ","3rd Qu.:2.128e-03  ","3rd Qu.:0.0017077  ","3rd Qu.: 4.9058  ","3rd Qu.: 1.7879  ","3rd Qu.: 49630.4  ","3rd Qu.: 63997.6  "
"","42     :1  ","Max.   :3.205e-02  ","Max.   :0.0238078  ","Max.   :69.5924  ","Max.   :20.4841  ","Max.   :151113.4  ","Max.   :156761.6  "
"","(Other):2  ",NA,NA,NA,NA,NA,NA
