"","        ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","CAM 3    : 1  ","Min.   :0.00761  ","Min.   :0.0008656  ","Min.   :0.08809  ","Min.   :0.004146  ","Min.   :0.6402  ","Min.   :0.04670  "
"","CAM1     : 1  ","1st Qu.:0.01366  ","1st Qu.:0.0014086  ","1st Qu.:0.10779  ","1st Qu.:0.005169  ","1st Qu.:0.8109  ","1st Qu.:0.05826  "
"","GRO 13-2 : 1  ","Median :0.01518  ","Median :0.0022844  ","Median :0.11711  ","Median :0.006988  ","Median :0.9058  ","Median :0.08442  "
"","GRO 2-1  : 1  ","Mean   :0.01568  ","Mean   :0.0021049  ","Mean   :0.11932  ","Mean   :0.007105  ","Mean   :0.9330  ","Mean   :0.08968  "
"","GRO 5-2  : 1  ","3rd Qu.:0.01822  ","3rd Qu.:0.0026732  ","3rd Qu.:0.13275  ","3rd Qu.:0.008745  ","3rd Qu.:1.0027  ","3rd Qu.:0.10792  "
"","MICH 10-1: 1  ","Max.   :0.02218  ","Max.   :0.0036048  ","Max.   :0.17035  ","Max.   :0.010799  ","Max.   :1.5508  ","Max.   :0.15317  "
"","(Other)  :19  ",NA,NA,NA,NA,NA,NA
