"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","7      :1  ","Min.   :0.0000060  ","Min.   :0.0000043  ","Min.   :0.001885  ","Min.   :0.0007024  ","Min.   :0.1891  ","Min.   :0.04180  "
"","20     :1  ","1st Qu.:0.0000236  ","1st Qu.:0.0000165  ","1st Qu.:0.003119  ","1st Qu.:0.0010035  ","1st Qu.:0.5064  ","1st Qu.:0.07850  "
"","26     :1  ","Median :0.0000402  ","Median :0.0000287  ","Median :0.004745  ","Median :0.0016098  ","Median :0.6418  ","Median :0.09735  "
"","27     :1  ","Mean   :0.0000551  ","Mean   :0.0000413  ","Mean   :0.005822  ","Mean   :0.0019706  ","Mean   :0.7271  ","Mean   :0.14145  "
"","40     :1  ","3rd Qu.:0.0000534  ","3rd Qu.:0.0000362  ","3rd Qu.:0.005837  ","3rd Qu.:0.0018626  ","3rd Qu.:0.9159  ","3rd Qu.:0.17370  "
"","42     :1  ","Max.   :0.0001858  ","Max.   :0.0001511  ","Max.   :0.016211  ","Max.   :0.0057495  ","Max.   :1.4141  ","Max.   :0.34663  "
"","(Other):2  ","NA's   :1  ","NA's   :1  ","NA's   :1  ","NA's   :1  ","NA's   :1  ","NA's   :1  "
