"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","1      : 1  ","Min.   : 0.6451  ","Min.   :0.1362  ","Min.   : 5.111  ","Min.   :0.1237  ","Min.   :  10.35  ","Min.   :   0.5542  "
"","2      : 1  ","1st Qu.: 1.7687  ","1st Qu.:0.3750  ","1st Qu.: 9.276  ","1st Qu.:0.6590  ","1st Qu.:  44.10  ","1st Qu.:   5.0926  "
"","3      : 1  ","Median : 2.6256  ","Median :0.4875  ","Median :13.884  ","Median :0.9867  ","Median :  61.86  ","Median :  10.4727  "
"","4      : 1  ","Mean   : 4.1323  ","Mean   :0.5985  ","Mean   :16.605  ","Mean   :1.2898  ","Mean   : 108.22  ","Mean   :  30.0858  "
"","8      : 1  ","3rd Qu.: 4.3093  ","3rd Qu.:0.6726  ","3rd Qu.:19.020  ","3rd Qu.:1.4000  ","3rd Qu.: 100.16  ","3rd Qu.:  16.2561  "
"","10     : 1  ","Max.   :27.5527  ","Max.   :2.9952  ","Max.   :47.579  ","Max.   :8.4175  ","Max.   :1903.53  ","Max.   :1006.6347  "
"","(Other):77  ",NA,NA,NA,NA,NA,NA
