"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","1      : 1  ","Min.   :0.005706  ","Min.   :0.0009299  ","Min.   :0.03441  ","Min.   :0.001275  ","Min.   :0.1087  ","Min.   :0.003877  "
"","2      : 1  ","1st Qu.:0.012538  ","1st Qu.:0.0019808  ","1st Qu.:0.04679  ","1st Qu.:0.001953  ","1st Qu.:0.1276  ","1st Qu.:0.010368  "
"","3      : 1  ","Median :0.018073  ","Median :0.0024510  ","Median :0.06529  ","Median :0.002783  ","Median :0.1457  ","Median :0.016416  "
"","4      : 1  ","Mean   :0.035656  ","Mean   :0.0030483  ","Mean   :0.08644  ","Mean   :0.003687  ","Mean   :0.2926  ","Mean   :0.040470  "
"","5      : 1  ","3rd Qu.:0.037358  ","3rd Qu.:0.0034386  ","3rd Qu.:0.07999  ","3rd Qu.:0.003910  ","3rd Qu.:0.3074  ","3rd Qu.:0.039269  "
"","6      : 1  ","Max.   :0.450237  ","Max.   :0.0113315  ","Max.   :0.76878  ","Max.   :0.013018  ","Max.   :1.3127  ","Max.   :0.291477  "
"","(Other):29  ",NA,NA,NA,NA,NA,NA
