"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","1      : 1  ","Min.   :0.0004249  ","Min.   :0.000673  ","Min.   :0.1675  ","Min.   :0.02448  ","Min.   :    2.535  ","Min.   :    0.337  "
"","2      : 1  ","1st Qu.:0.0097984  ","1st Qu.:0.004188  ","1st Qu.:0.7685  ","1st Qu.:0.06536  ","1st Qu.:    7.858  ","1st Qu.:    2.758  "
"","3      : 1  ","Median :0.0603399  ","Median :0.014160  ","Median :1.0042  ","Median :0.09574  ","Median :   25.649  ","Median :    9.096  "
"","4      : 1  ","Mean   :0.0982235  ","Mean   :0.028259  ","Mean   :1.1482  ","Mean   :0.22479  ","Mean   :  317.616  ","Mean   :  607.086  "
"","5      : 1  ","3rd Qu.:0.1618629  ","3rd Qu.:0.036886  ","3rd Qu.:1.5166  ","3rd Qu.:0.21341  ","3rd Qu.:   55.045  ","3rd Qu.:   29.245  "
"","6      : 1  ","Max.   :0.3588239  ","Max.   :0.118472  ","Max.   :2.9987  ","Max.   :1.69679  ","Max.   :13477.578  ","Max.   :28630.002  "
"","(Other):44  ",NA,NA,NA,NA,NA,NA
