"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","Min.   : 2  ","Min.   : 670.2  ","Min.   : 25.07  ","Min.   : 1907  ","Min.   :   14.03  ","Min.   :  3687  ","Min.   :   105.6  "
"","1st Qu.:21  ","1st Qu.:1337.1  ","1st Qu.: 34.16  ","1st Qu.: 2932  ","1st Qu.:   71.07  ","1st Qu.:  6118  ","1st Qu.:   415.4  "
"","Median :29  ","Median :1408.6  ","Median : 47.59  ","Median : 3491  ","Median :  110.40  ","Median :  7440  ","Median :   617.0  "
"","Mean   :29  ","Mean   :1448.3  ","Mean   : 65.72  ","Mean   : 5135  ","Mean   :  767.03  ","Mean   : 28104  ","Mean   : 13304.1  "
"","3rd Qu.:39  ","3rd Qu.:1548.2  ","3rd Qu.: 68.91  ","3rd Qu.: 4982  ","3rd Qu.:  433.35  ","3rd Qu.: 17886  ","3rd Qu.:  3457.3  "
"","Max.   :49  ","Max.   :2371.0  ","Max.   :326.78  ","Max.   :27931  ","Max.   :10695.80  ","Max.   :329034  ","Max.   :231753.1  "
