"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","7      :1  ","Min.   :0.03536  ","Min.   :0.04378  ","Min.   : 56.72  ","Min.   :  8.305  ","Min.   :  2540  ","Min.   :   1257  "
"","20     :1  ","1st Qu.:0.20026  ","1st Qu.:0.13154  ","1st Qu.: 96.88  ","1st Qu.: 38.415  ","1st Qu.: 27427  ","1st Qu.:  25404  "
"","26     :1  ","Median :0.26935  ","Median :0.24228  ","Median :142.24  ","Median : 52.526  ","Median : 60453  ","Median :  88540  "
"","27     :1  ","Mean   :0.57119  ","Mean   :0.37733  ","Mean   :156.01  ","Mean   : 55.562  ","Mean   :156745  ","Mean   : 221131  "
"","40     :1  ","3rd Qu.:1.10293  ","3rd Qu.:0.56828  ","3rd Qu.:201.58  ","3rd Qu.: 69.841  ","3rd Qu.:241180  ","3rd Qu.: 242223  "
"","42     :1  ","Max.   :1.32881  ","Max.   :0.95617  ","Max.   :299.22  ","Max.   :120.335  ","Max.   :564033  ","Max.   :1018037  "
"","(Other):2  ",NA,NA,NA,NA,NA,NA
