"","ID","Estimate.10","SE.10","EC50","SE.50","Estimate.90","SE.90"
"1",1,0.0113248257505179,0.00712611864016171,0.302429422476199,0.0749350175737676,8.07637641357124,3.79562588215242
"2",2,0.0146431592915168,0.00999094418326912,0.493060467645855,0.129111019401214,16.6021976484261,8.7279118543452
"3",3,0.00978089774517804,0.00742748256873935,0.383524180455314,0.110382242148312,15.0385783417924,8.15229849574735
"4",4,0.00976567631014403,0.00604809291311973,0.40681631850477,0.0953353530942455,16.9470614984303,7.76544185179186
"5",5,0.000934280287526518,0.00102727233577665,0.147547858688824,0.059896947695295,23.3017552594347,17.7967872595465
"6",6,0.00915582405151859,0.00655459853156519,0.380249316417524,0.108398724994344,15.7920840136735,8.55154456327612
"7",7,0.00698423447395476,0.00577772756025009,0.315732766868085,0.103841332128643,14.273172019915,8.37239957195039
"8",8,0.00624217848499763,0.00479656021728536,0.323590583939607,0.0994841305820528,16.7747311721439,9.79445315558726
"9",9,0.000344574383670492,0.000521377681517512,0.148705625715588,0.0792360863305841,64.1758765811538,71.4552823167087
"10",10,0.00229874307002966,0.00197687421947949,0.241948439219128,0.0796241924081339,25.4656764402194,16.1371452983778
"11",11,0.0202687867832542,0.00802754160793639,0.363490669899393,0.0582127585479013,6.51866678143111,2.0463634999523
"12",12,0.00195044493203253,0.00147685662828653,0.1565168999814,0.0456866694809054,12.5599752023038,6.23966001677968
"13",13,0.00741884618968421,0.00327770895598281,0.222320211267631,0.0393435034240983,6.66225920774725,2.18098512084001
"14",14,0.00899979784018537,0.00568102882495411,0.276289678202937,0.0682648245194133,8.48196677714596,3.91055668852381
"15",15,0.000768677936035341,0.000745397041913155,0.157632363381292,0.054561270080225,32.3255824322624,21.0572702636408
"16",16,0.00168220351526945,0.00134095309657335,0.245006980811619,0.0730336050192494,35.6843985293954,19.7639602390185
"17",17,0.00483036208096375,0.00226396908923969,0.251259816374163,0.0470747207398963,13.0697231938734,4.5179140983784
"18",18,0.00145123051332232,0.000974583638567703,0.225198968732948,0.0570664368121801,34.9459131770058,16.651386768781
"19",19,0.00660941460284961,0.00467352193150877,0.309305740950066,0.0851720650010303,14.4748131466018,7.56935729066089
"20",20,0.00347870150380964,0.00164852258569308,0.247106893745118,0.0482904532544525,17.5530487078268,6.5312863825414
"21",21,0.00896699802490112,0.00509741174713353,0.395094074197578,0.0878571261475838,17.4082036187092,6.94886920427734
"22",22,0.0129746885727088,0.00778390774312668,0.451614898172934,0.104925275695954,15.7195307701454,6.89661333151186
"23",23,0.00159502453660418,0.00133846885750125,0.162420011074236,0.0539159094753681,16.5390935323908,10.0472216422957
"24",24,0.00658435788836412,0.00340560606060585,0.262462119664905,0.0531235566062517,10.4621233272771,3.81962299371292
"25",25,0.00472615974786895,0.00244559568612478,0.223880944132484,0.0463568290886094,10.6053709183769,3.73524424216453
"26",26,0.000104710464522701,0.000101003756446091,0.0442983950418306,0.015108303459257,18.740703827712,11.6430403274107
"27",27,0.00877722007504836,0.00383791226574617,0.25346413535792,0.0445748357790681,7.31940948995562,2.31114259399881
"28",28,0.0133164531312854,0.0079319899413318,0.349313690097121,0.0826662940670001,9.16310468608165,3.94297219612543
"29",29,0.0031058241466618,0.0019260083751281,0.202324399611245,0.0499807385459398,13.1801289271476,5.8882392507187
"30",30,0.00534925346549982,0.00251096970654436,0.214522911235315,0.039818679706523,8.60308447555961,2.79166714610077
"31",31,0.00630870132235468,0.0037073094669824,0.240202939658976,0.0548614383499933,9.1456940616866,3.73980277858533
"32",32,0.0161177079966504,0.00852502159159395,0.41123005668874,0.0890239322178558,10.4921965058164,4.27591111836897
"33",33,0.0109562996858768,0.00507324530439249,0.266998921601204,0.0506862132291674,6.50661502332766,2.25252933758
"34",34,0.00768365615251751,0.00491727080308675,0.299910571065625,0.0737080300599748,11.7061915384434,5.37574956913371
"35",35,0.0121764445262491,0.00758800074417724,0.341196007426982,0.0826068012639484,9.56064927107045,4.49288335428227
"36",36,0.00643930601493578,0.00362019842681647,0.248712947236595,0.0547222528956533,9.60633490311458,3.72791426523678
"37",37,0.00526938205522986,0.00277537493004491,0.29804523554582,0.0620715783722233,16.8579468143516,6.78671703882279
"38",38,0.0066502586480016,0.00344502258240326,0.207906122392341,0.0407447127139528,6.49974053884481,2.2934246379616
"39",39,0.00986195646055748,0.00460472190996729,0.294767297154346,0.0526029572710308,8.81039779674379,2.90896250531269
"40",40,0.00981498014388224,0.00460754198955976,0.257731193929177,0.0472858754997765,6.7677537142612,2.25596474018532
"41",41,0.0026668111692063,0.00210285387272149,0.230690069821867,0.0680223228492264,19.9556342529706,10.6684254380176
"42",42,0.00622926720379077,0.00546788172314138,0.263908944758366,0.0821832186188521,11.1807583211539,6.31439001402201
"43",43,0.00439353527405187,0.00295037888038295,0.288628867117243,0.0767538374287062,18.9611822227514,9.43296634521098
"44",44,0.00651789589169407,0.00458619772770677,0.245580048270976,0.0634437279180335,9.25291859687867,4.28602903385663
"45",45,0.00794971949151089,0.00479677332577868,0.305454541010407,0.0701898167345333,11.7365746959388,4.86602936806479
"46",46,0.00843972116712824,0.0038911668654327,0.327684041903129,0.0601104343280325,12.7227937027342,4.37149074437366
