"","      ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","7      :1  ","Min.   :4.374e-06  ","Min.   :7.540e-06  ","Min.   : 0.3328  ","Min.   :0.1580  ","Min.   : 3433  ","Min.   : 1395  "
"","20     :1  ","1st Qu.:1.702e-05  ","1st Qu.:2.660e-05  ","1st Qu.: 0.4979  ","1st Qu.:0.2405  ","1st Qu.: 7139  ","1st Qu.: 6020  "
"","26     :1  ","Median :3.802e-04  ","Median :5.850e-04  ","Median : 2.5772  ","Median :0.6481  ","Median :20668  ","Median :19755  "
"","27     :1  ","Mean   :1.352e-03  ","Mean   :9.787e-04  ","Mean   : 4.1366  ","Mean   :1.0903  ","Mean   :30807  ","Mean   :23932  "
"","40     :1  ","3rd Qu.:1.887e-03  ","3rd Qu.:1.560e-03  ","3rd Qu.: 5.4742  ","3rd Qu.:1.9319  ","3rd Qu.:49621  ","3rd Qu.:34733  "
"","42     :1  ","Max.   :5.825e-03  ","Max.   :3.358e-03  ","Max.   :13.7664  ","Max.   :2.6171  ","Max.   :75266  ","Max.   :68854  "
"","(Other):2  ",NA,NA,NA,NA,NA,NA
