"","       ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","CAM 1   : 1  ","Min.   :0.0000000  ","Min.   :0.0000000  ","Min.   :  0.0004  ","Min.   :  0.00021  ","Min.   :      0  ","Min.   :0.000e+00  "
"","CAM 2   : 1  ","1st Qu.:0.0000054  ","1st Qu.:0.0000063  ","1st Qu.:  0.0567  ","1st Qu.:  0.00676  ","1st Qu.:      8  ","1st Qu.:0.000e+00  "
"","CAM 3   : 1  ","Median :0.0011277  ","Median :0.0006944  ","Median :  1.8326  ","Median :  0.93121  ","Median : 189969  ","Median :6.014e+04  "
"","CHI 1-3 : 1  ","Mean   :0.0226458  ","Mean   :0.0283328  ","Mean   : 31.6003  ","Mean   :  9.77985  ","Mean   :    Inf  ","Mean   :1.467e+08  "
"","CHI 10-1: 1  ","3rd Qu.:0.0106325  ","3rd Qu.:0.0032636  ","3rd Qu.: 37.4398  ","3rd Qu.: 10.57739  ","3rd Qu.:6758149  ","3rd Qu.:4.657e+06  "
"","CHI 11-2: 1  ","Max.   :1.2441387  ","Max.   :2.2026494  ","Max.   :365.8220  ","Max.   :143.82661  ","Max.   :    Inf  ","Max.   :1.117e+10  "
"","(Other) :95  ",NA,NA,NA,NA,NA,"NA's   :7  "
