"","ID","Estimate.10","SE.10","EC50","SE.50","Estimate.90","SE.90"
"1","CAM 1",0.00130710749527555,0.000476978585696614,0.0436462674292558,0.00596365430380933,1.45741392149582,0.30814765157301
"2","CAM 2",0.0100242156259971,0.00327204854380663,0.0430381771514051,0.0044771045496675,0.184781010467487,0.035705076245528
"3","CAM 3",0.0112967764610729,0.00287618882483421,0.0455407231216516,0.00365267489336983,0.183588430698748,0.0291739650325235
"4","CHI 1-3",8.8958970987402e-05,4.60530312643983e-05,5.7380223045205,0.939223026245791,370113.318552633,198541.012545687
"5","CHI 10-1",5.48432331001941e-07,1.02274126089369e-06,10.8389733399238,2.90817496759021,214216661.605172,394615871.257645
"6","CHI 11-2",0,0,0.0995900414810892,0.792859683828744,Inf,NA
"7","CHI 12-3",0.000280108501025808,0.00031985445025273,12.9030643119206,4.67215502931859,594373.494655983,735025.705198136
"8","CHI 13-5",0.00617416388993906,0.00247048970842605,1.70059256288506,0.271834549284447,468.405943945312,150.589632635748
"9","CHI 14-1",1.64821969470288e-06,3.3454425238733e-06,12.1177281929465,3.48817462910576,89089662.6402719,176661122.154749
"10","CHI 15-2",4.74380389978724e-05,3.42748120294628e-05,68.7733555400276,10.5773883810547,99704257.0087515,77495651.3092577
"11","CHI 16-3",0.00049541172140417,0.000453636816718436,52.8065707626418,11.0465920354467,5628720.10336416,5458670.63288315
"12","CHI 17-4",0.0174843384877996,0.00744505796682649,7.57341760144081,1.23506482051602,3280.45892075564,1275.04451464188
"13","CHI 18-5",0.00485522835176888,0.00246293659680704,2.63877603322485,0.540297048472678,1434.15272136171,647.739239650628
"14","CHI 19-3",0,0,0.0858166400275545,0.931214990797072,Inf,NA
"15","CHI 2-2",0.0106325381641421,0.00698509642831693,106.526382769422,30.2598443362791,1067277.63876812,960202.801625425
"16","CHI 20-3",0.00551714158044489,0.00105513776481463,0.0310929976596391,0.00209120492757395,0.175231048427139,0.0148850650920898
"17","CHI 3-3",4.95515653800294e-06,3.0763228284194e-06,5.80156653837579,0.95905713491812,6792555.1980174,4472004.1121978
"18","CHI 4-1",0,0,0.128151107248308,0.983576783760224,Inf,NA
"19","CHI 5-1",0.00591242589822324,0.00817191077515429,65.4572651616715,37.0641534199239,724686.217840459,1295981.59113451
"20","CHI 6-1",0.0012411742906192,0.00123440160319451,81.7391572455511,29.8469208269173,5383039.1732331,6841453.80671537
"21","CHI 7-5",0.00128441872778352,0.00308372720319223,172.000063805893,143.826608351875,23033004.1981586,70677295.0031558
"22","CHI 8-2",0.000391479367096108,0.000418074554517636,109.447765659465,38.4768328684775,30598837.1665788,40792851.3024933
"23","CHI 9-1",6.92848906634831e-05,4.58543303625867e-05,0.359657820612979,0.0778917918067036,1866.98350375336,935.797181170758
"24","COL 1-3",9.04522416832515e-05,9.90235712666334e-05,33.0535914219247,7.26125382450419,12078638.2466167,13514656.3216463
"25","COL 2-3",0.00112773389822817,0.0011880987579758,58.6408740576444,11.620678951827,3049258.44265858,3181408.13354153
"26","COL 3-1",0,0,0.113825551950125,0.81481438999793,Inf,NA
"27","COL 4-3",0.00233938883294383,0.00272228467329937,55.4165753645816,12.2642691811306,1312734.66894082,1495996.2757118
"28","COL 5-2",0.000216265216047662,0.000230851507380847,25.6041485411399,9.64628763732118,3031335.48009995,3916035.64520949
"29","GRO 10-2",7.26296484445397e-07,7.00746155647385e-07,2.71630223512727,0.620681877281077,10158796.0159156,9834646.18368726
"30","GRO 12-1",1.00502776617636e-07,2.18540895121697e-07,4.38825233695529,1.52852924399695,191604244.388751,411803696.351037
"31","GRO 13-2",5.1019127009808e-05,2.70821979614979e-05,15.421653957396,2.61620754327727,4661534.30528023,2875479.28879589
"32","GRO 15-1",1.27805984341024e-06,1.90006816215191e-06,17.1319570504608,4.3994281695548,229648051.217757,350393515.825731
"33","GRO 16-2",0.00282740687479912,0.000484627244701333,0.0203141833793529,0.00138892550008507,0.1459521266812,0.00770606861844508
"34","GRO 18-1",0.0089907507572219,0.00269098406873477,0.215125083177557,0.0310665068912513,5.14737897443957,1.00030988566245
"35","GRO 2-1",0.0438559569011655,0.0551584158069032,91.786924598439,21.5241382356866,192102.512920329,236205.753450135
"36","GRO 4-2",7.97138512753598e-07,4.49639723069952e-06,1.83255774126274,2.45344769730431,4212903.80696996,22770445.2803254
"37","GRO 5-2",0.0139194541547742,0.00896229700780242,9.62695722783042,2.2044946079094,6658.18533082987,3931.98621061351
"38","GRO 8-2",0.000266472333857394,0.00019159856748944,17.9205737067595,4.57013478501407,1205179.37952714,1020186.53210222
"39","MICH 10-1",0.00087869891355034,0.000800764914901266,77.0608732910202,22.4850639973327,6758149.0096317,7390217.61246206
"40","MICH 11-2",0.00194721214196702,0.00353668163990373,115.580739216325,65.601080866602,6860529.9802092,15006904.9861374
"41","MICH 14-1",6.6815561315361e-08,1.0704052102733e-07,0.00881767602479525,0.00435085273720537,1163.67218874765,908.24978443815
"42","MICH 15-2",3.30164335338361e-07,6.16086386233676e-07,0.0224911579079775,0.0125113980236686,1532.12243085907,1563.03863338943
"43","MICH 2-2",3.15717263940279e-09,4.06765365718776e-09,0.00596713547105979,0.00218410886857382,11278.0356973812,7502.73837215327
"44","MICH 3-1",7.10240139141256e-08,1.06992452832354e-07,0.0153212861924345,0.00675527717051016,3305.10481812968,2617.36924427297
"45","MICH 6-1",0.00304952996352973,0.00336485471682355,111.854636713937,27.2170926522813,4102750.22840745,4718042.11766441
"46","MICH 7-1",1.24413870582396,2.2026493659283,255.063167084884,92.8768156751786,52290.969567003,110558.146909625
