"","       ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","CAM 1   : 1  ","Min.   :0.0001027  ","Min.   :4.105e-05  ","Min.   :0.006645  ","Min.   :0.0003995  ","Min.   :0.08668  ","Min.   :0.004179  "
"","CAM 2   : 1  ","1st Qu.:0.0006837  ","1st Qu.:1.519e-04  ","1st Qu.:0.018773  ","1st Qu.:0.0014824  ","1st Qu.:0.24719  ","1st Qu.:0.029701  "
"","CAM 3   : 1  ","Median :0.0012659  ","Median :2.363e-04  ","Median :0.025356  ","Median :0.0025086  ","Median :0.58790  ","Median :0.087999  "
"","CHI 1-3 : 1  ","Mean   :0.0016352  ","Mean   :3.003e-04  ","Mean   :0.029453  ","Mean   :0.0028237  ","Mean   :0.95565  ","Mean   :0.176204  "
"","CHI 10-1: 1  ","3rd Qu.:0.0022713  ","3rd Qu.:3.879e-04  ","3rd Qu.:0.039077  ","3rd Qu.:0.0038148  ","3rd Qu.:1.04941  ","3rd Qu.:0.158892  "
"","CHI 11-2: 1  ","Max.   :0.0062983  ","Max.   :1.422e-03  ","Max.   :0.081383  ","Max.   :0.0133668  ","Max.   :9.73374  ","Max.   :2.386589  "
"","(Other) :95  ",NA,NA,NA,NA,NA,NA
