"","       ID"," Estimate.10","    SE.10","     EC50","    SE.50"," Estimate.90","    SE.90"
"","CAM 1   : 1  ","Min.   :0.00000  ","Min.   :0.0000000  ","Min.   :  0.0387  ","Min.   : 0.00098  ","Min.   :     0.17  ","Min.   :        0  "
"","CAM 2   : 1  ","1st Qu.:0.00161  ","1st Qu.:0.0008643  ","1st Qu.:  0.0725  ","1st Qu.: 0.00196  ","1st Qu.:     0.27  ","1st Qu.:        0  "
"","CAM 3   : 1  ","Median :0.01270  ","Median :0.0012683  ","Median :  0.1996  ","Median : 0.05443  ","Median :   115.80  ","Median :       48  "
"","CHI 11-2: 1  ","Mean   :0.09215  ","Mean   :0.0419487  ","Mean   : 39.0176  ","Mean   : 6.92001  ","Mean   :      Inf  ","Mean   : 10049650  "
"","CHI 13-5: 1  ","3rd Qu.:0.02265  ","3rd Qu.:0.0033851  ","3rd Qu.: 38.4351  ","3rd Qu.: 6.91520  ","3rd Qu.:152409.36  ","3rd Qu.:    80170  "
"","CHI 14-1: 1  ","Max.   :2.79894  ","Max.   :1.2956205  ","Max.   :420.9991  ","Max.   :79.26860  ","Max.   :      Inf  ","Max.   :463401456  "
"","(Other) :44  ",NA,NA,NA,NA,NA,"NA's   :1  "
