"","ID","Estimate.10","SE.10","EC50","SE.50","Estimate.90","SE.90"
"1","7",NA,NA,NA,NA,NA,NA
"2","20",4.01672591794626e-05,2.86784614688522e-05,0.00474541393335291,0.00160983339149284,0.560629573908639,0.0886689292973045
"3","26",4.28427701130448e-05,2.98367623704596e-05,0.00524390820771355,0.001720759903442,0.641848629730708,0.100792384065348
"4","27",0.000185834962799788,0.000151067078534139,0.0162106707984379,0.00574952563715529,1.41408184862631,0.3466251443524
"5","40",2.83987285086184e-05,1.8940430577164e-05,0.00358316548519375,0.00115262970677376,0.452100342815961,0.0683275327717489
"6","42",5.95381363538341e-06,4.25317226552186e-06,0.00265534290281419,0.00085441421861103,1.18425707677893,0.246597877405839
"7","43",6.38681199210027e-05,4.26016388700743e-05,0.00643080177434701,0.00200435984159473,0.647509454045244,0.0973477454306967
"8","44",1.87989674994061e-05,1.40673136099186e-05,0.00188539257013982,0.00070240017112074,0.189090445719997,0.0418012344525962
